username,date,retweets,favorites,text,geo,mentions,hashtags,tweetid,conversationid,replyto,permalink,imagelink
"ndtcssh","2018-07-18-12:32",0,0,"I also eat aborted fetuses on my toast in the morning and wash it down with the blood of a virgin get your uneducated ass off my page. https://twitter.com/pgibb76/status/1019402640705445888 …","","","","1019621060059324416","","","https://twitter.com/ndtcssh/status/1019621060059324416","https://abs.twimg.com/emoji/v2/72x72/1f937-1f3fc-200d-2640-fe0f.png"
"suzyq228","2018-07-12-01:38",1,1,"These are NOT aborted fetuses. These are MISCARRIED. And I don't know anywhere in the US that would put fetuses on the ground & use a filthy bowl to wash them. Why don't you people get that WE DON'T WANT TO TAKE YOUR GUNS? We want better rules in place! That's it!","","","","1017281914707828736","1017076995363102720","3Conservative Steflynn45","https://twitter.com/suzyq228/status/1017281914707828736",""
"Frankie_Bow","2018-07-04-15:30",0,0,"Misleading. 'This same photograph had earlier been distributed ... by the Vietnamese news site Emdep. The text described a volunteer who...washes the remains of aborted fetuses, stillborn births, and/or premature or abandoned infants' https://www.snopes.com/fact-check/washing-aborted-fetuses/ …","","","","1014592368966635520","1013894581207912452","CA_4_TRUMP HelmsTusmc0311","https://twitter.com/Frankie_Bow/status/1014592368966635520",""
"ebudae2007","2018-07-04-02:30",4,14,"This same photograph had been distributed as part of a larger set published by the Vietnamese news site Emdep. Photographs described a volunteer who ritually washes the remains of aborted fetuses, stillborn births, and/or premature or abandoned infants in preparation for burial.","","","","1014396020636209152","1013894581207912452","HelmsTusmc0311 WritingSilver","https://twitter.com/ebudae2007/status/1014396020636209152",""
"ebudae2007","2018-07-04-02:29",0,3,"This same photograph had been distributed as part of a larger set published by the Vietnamese news site Emdep. Photographs described a volunteer who ritually washes the remains of aborted fetuses, stillborn births, and/or premature or abandoned infants in preparation for burial.","","","","1014395831192051712","1013894581207912452","CA_4_TRUMP SplatWhite","https://twitter.com/ebudae2007/status/1014395831192051712",""
"APTrickledown","2018-07-04-02:09",1,14,"This is Vietnam!!! Vietnamese news site Emdep. The text accompanying that set of photographs described a volunteer who ritually washes the remains of aborted fetuses, stillborn births, and/or premature or abandoned infants (the translation is ambiguous) in preparation for burial","","","","1014390711070875649","1013894581207912452","HelmsTusmc0311 WritingSilver","https://twitter.com/APTrickledown/status/1014390711070875649",""
"KatNL","2018-06-26-08:26",0,0,"This same photograph had earlier been distributed as part of a larger set published by the Vietnamese news site Emdep. The text accompanying that set of photographs described a volunteer who ritually washes the remains of aborted fetuses, stillborn births. https://www.snopes.com/fact-check/washing-aborted-fetuses/ …","","","","1011586582078517248","","","https://twitter.com/KatNL/status/1011586582078517248",""
"Kraxian","2018-06-22-17:00",0,0,"The text accompanying that set of photographs described a volunteer who ritually washes the remains of aborted fetuses, stillborn births, and/or premature or abandoned infants (the translation is ambiguous) in preparation for buria","","","","1010266249161531392","1009813378221658112","LeslawDietrich JacekDyrla GodekKaja","https://twitter.com/Kraxian/status/1010266249161531392",""
"nachdermas","2018-05-09-20:36",0,22,"i think the issue is that people are using their aborted fetuses to wash clothes instead of the tide pods","","","","994375503145562114","994371967796043776","KrangTNelson","https://twitter.com/nachdermas/status/994375503145562114",""
"fabmissem","2018-01-26-14:59",0,0,"And wash it all down with a Pepsi (also contains aborted fetuses). pic.twitter.com/x3e6ruIRwr","","","","956979889307111424","956911644843610112","OhNoSheTwitnt AngryBlackLady","https://twitter.com/fabmissem/status/956979889307111424",""
"RevoltPastDue","2017-11-20-01:34",0,0,"I eat zoo animals and wash it down with the aborted fetuses in coca cola products. https://twitter.com/kenklippenstein/status/932479588822913024 …","","","","932497445942067200","","","https://twitter.com/RevoltPastDue/status/932497445942067200",""
"Trevon666","2017-08-28-21:08",0,1,"Let's pray the circling waters of damnation wash countless aborted fetuses upon your precious palace. # joelolsteen","","","# joelolsteen","902337242747871236","","","https://twitter.com/Trevon666/status/902337242747871236",""
"kngpao","2017-07-27-08:00",0,1,"FUKKA YEEZUS I GOT PIECES OF BREAD TO FEED US I GOT PRAYER TO CURE DISEASES ND HOLY WATER TO WASH ABORTED FETUSES FUCK THE MOTHERS FREEDOM","","","","890542478926938113","","","https://twitter.com/kngpao/status/890542478926938113",""
"EdmondTanya","2016-11-30-15:54",0,0,"Here we go... After months of controversy, Texas will require aborted fetuses to be cremated or buried - Wash Post https://www.washingtonpost.com/news/morning-mix/wp/2016/11/29/despite-months-of-outcry-texas-will-require-aborted-fetustes-to-be-cremated-or-buried/?0p19G=c&utm_term=.c8caddb94446 …","","","","804066160337702913","","","https://twitter.com/EdmondTanya/status/804066160337702913",""
"TankUVeryMuch","2016-11-29-20:30",0,0,"Bullshit. After months of controversy, Texas will require aborted fetuses to be cremated or buried - The Wash Post https://www.washingtonpost.com/news/morning-mix/wp/2016/11/29/despite-months-of-outcry-texas-will-require-aborted-fetustes-to-be-cremated-or-buried/ …","","","","803773255307792384","","","https://twitter.com/TankUVeryMuch/status/803773255307792384",""
"CON_WASH_tweets","2016-10-25-10:58",0,5,"I love starting my day off by seeing pictures of aborted fetuses in front of TUC","","","","790930438239973376","","","https://twitter.com/CON_WASH_tweets/status/790930438239973376",""
"Malketh","2016-05-19-19:47",0,0,"Not just that, but if you used an egg wash then you bathed their corpses in their aborted fetuses too...","","","","733444052889145344","733423730664214529","dirkmacgirk","https://twitter.com/Malketh/status/733444052889145344",""
"TCS37","2015-06-03-13:33",0,1,"@ MetalMushin bands eat aborted fetuses and wash it down with their own urine. That's how you become metal lmao","","@ MetalMushin","","606151712106233856","606146144251412480","MetalMushin","https://twitter.com/TCS37/status/606151712106233856",""
"Canis_Enigmas","2014-12-20-01:40",1,0,"'Wash your hair with the tears and broken dreams of aborted fetuses' pic.twitter.com/ccdNwsYtZo","","","","546193458335997952","","","https://twitter.com/Canis_Enigmas/status/546193458335997952","https://pbs.twimg.com/media/B5R4DFgCcAE18Tb.jpg"
"greeneyedkittn","2014-11-04-23:13",1,0,"@ assyIa_ am a feminmstni my diet consists of aborted fetuses and I wash it down with an ice cold glass of man tears","","@ assyIa_","","529848952079003648","529845446597160960","assyIa_","https://twitter.com/greeneyedkittn/status/529848952079003648",""
"Sir_WasH","2014-04-24-18:51",0,0,"Tissue from aborted fetuses used to power Ore. homes: http://fxn.ws/1l9ilFy","","","","459464669116116992","","","https://twitter.com/Sir_WasH/status/459464669116116992",""
"Sorni","2014-04-18-23:14",0,0,"# popepelosi Maybe Nancy could wash the feet of aborted fetuses she condones. Preparation for suitable burial...or in her world, 'flushing'.","","","# popepelosi","457356571123515392","","","https://twitter.com/Sorni/status/457356571123515392",""
"NowInvisible","2013-06-17-00:38",0,0,"95 percent of people fail to wash their hands properly and the other 5% washed their hands in their feces and aborted fetuses # facts # true","","","# facts # true","346486895162847232","","","https://twitter.com/NowInvisible/status/346486895162847232",""
"Kush_Kulture","2013-04-16-23:02",0,0,"@ paradiseordie nigga I get brain from zombie bitches then eat aborted fetuses like grapes and wash it down wit Jesus blood after stabbin him","","@ paradiseordie","","324357208781496321","324351987820937216","paradiseordie","https://twitter.com/Kush_Kulture/status/324357208781496321",""
"Sir_WasH","2013-04-03-00:16",0,0,"China sells a soup made out of aborted human fetuses.","","","","319302436395298816","","","https://twitter.com/Sir_WasH/status/319302436395298816",""
"TiberiusRussell","2013-03-27-21:47",0,0,"“@_cweave: What do I want for dinner” ABORTED FETUSES. WASH IT DOWN WITH THE BLOOD OF THE INNOCENT. BON APETIT.","","","","317090477335785472","317089552693092353","x_spookshowbaby","https://twitter.com/TiberiusRussell/status/317090477335785472",""
"QuitFraudin","2013-02-16-22:17",0,0,"'@TheeGoogleFacts: China sells a soup made out of aborted human fetuses.' WTF I'm tryna wash myself with dead babies!!","","","","302980163245846528","","","https://twitter.com/QuitFraudin/status/302980163245846528",""
"coreyhavoc","2012-05-11-14:16",0,0,"@ Clutch_43 arsenic, I need it to wash down the delicious bowl of broken glass, nails and aborted fetuses.","","@ Clutch_43","","201012824527482880","201012291922182145","Clutch_43","https://twitter.com/coreyhavoc/status/201012824527482880",""
"motownmom_","2011-04-12-17:11",0,0,"jon kyl eats aborted fetuses for dinner and washes it down with the blood of baby seals! # NotIntendedToBeAFactualStatement","","","# NotIntendedToBeAFactualStatement","57913714292166656","","","https://twitter.com/motownmom_/status/57913714292166656",""
"TheDutchYeti","2011-03-06-22:21",0,0,"@ MrMxyzptIk is that to wash down that fresh dinner of aborted fetuses?","","@ MrMxyzptIk","","44598608061939712","44596429708210176","MrMxyzptIk","https://twitter.com/TheDutchYeti/status/44598608061939712",""
