username,date,retweets,favorites,text,geo,mentions,hashtags,tweetid,conversationid,replyto,permalink,imagelink
"inggs21","2016-06-06-04:36",0,0,"Shocking! Mysterious 4-metre long sea monster found washed up dead on beach baffles experts -... http://fb.me/7QzRFYTXm","","","","739737636080746496","","","https://twitter.com/inggs21/status/739737636080746496",""
"Anush37527572","2016-06-04-10:46",0,0,"Shocking! Mysterious 4-metre long sea monster found washed up dead on beach baffles experts -... http://fb.me/OGT4QR8T","","","","739106130899542016","","","https://twitter.com/Anush37527572/status/739106130899542016",""
"jonkoot","2016-06-03-23:53",0,0,"Shocking! Mysterious 4-metre long sea monster found washed up dead on beach baffles experts -... http://fb.me/2Rr6l9nv3","","","","738941829236678656","","","https://twitter.com/jonkoot/status/738941829236678656",""
"gertrudeperrine","2016-06-03-10:51",0,0,"Shocking! Mysterious 4-metre long sea monster found washed up dead on beach baffles experts -... http://fb.me/2IayebluM","","","","738745012523929602","","","https://twitter.com/gertrudeperrine/status/738745012523929602",""
"nelsundisilva","2016-06-02-10:12",0,0,"Shocking! Mysterious 4-metre long sea monster found washed up dead on beach baffles experts -... http://fb.me/2KAuJEowJ","","","","738372801933893632","","","https://twitter.com/nelsundisilva/status/738372801933893632",""
"Strangenessshow","2016-03-13-09:36",0,0,"Mysterious 4-metre long sea monster found washed up dead on beach baffles experts - http://Mirror.co.uk http://dlvr.it/Kmg1dp","","","","709010143006986240","","","https://twitter.com/Strangenessshow/status/709010143006986240",""
"opurra","2016-03-12-17:11",0,0,"Mysterious 4-metre long sea monster found washed up dead on beach baffles experts http://ln.is/nr.news-republic.com/Gx5NU … via @ NewsRepublicUK","","@ NewsRepublicUK","","708777542455529472","","","https://twitter.com/opurra/status/708777542455529472",""
"ccessp","2016-03-12-12:07",0,0,"Mysterious 4-Metre Long Sea Monster Found On Beach - via @ ViralShotspic.twitter.com/j3ongODoTf","","@ ViralShotspic","","708700923824967680","","","https://twitter.com/ccessp/status/708700923824967680","https://pbs.twimg.com/media/CdXPvDgUUAAdbYB.jpg"
"dpg6662000","2016-03-12-08:36",0,0,"BELLO's World: Panic as Mysterious 4-metre Long Sea Monster is Found Dead on Beach, Confusing... http://fb.me/84ZswNlWI","","","","708647906413248512","","","https://twitter.com/dpg6662000/status/708647906413248512",""
"dpg6662000","2016-03-12-01:00",0,0,"BELLO's World: Panic as Mysterious 4-metre Long Sea Monster is Found Dead on Beach, Confusing... http://fb.me/2qK3I0lDB","","","","708533199333429249","","","https://twitter.com/dpg6662000/status/708533199333429249",""
"dpg6662000","2016-03-11-16:52",0,0,"BELLO's World: Panic as Mysterious 4-metre Long Sea Monster is Found Dead on Beach, Confusing... http://fb.me/750zqZQ8B","","","","708410415072546818","","","https://twitter.com/dpg6662000/status/708410415072546818",""
"dpg6662000","2016-03-11-14:03",0,0,"BELLO's World: Panic as Mysterious 4-metre Long Sea Monster is Found Dead on Beach, Confusing... http://fb.me/4BeHPE9Sy","","","","708367704026120192","","","https://twitter.com/dpg6662000/status/708367704026120192",""
"benzenreporters","2016-03-11-11:48",0,0,"Mysterious 4-metre long sea monster found washed up dead on beach – Benzen Reporters http://fb.me/2CDlHdVmW","","","","708333860891828224","","","https://twitter.com/benzenreporters/status/708333860891828224",""
