username,date,retweets,favorites,text,geo,mentions,hashtags,tweetid,conversationid,replyto,permalink,imagelink
"UL_Max_bot","2018-08-02-01:20",0,0,"……","","","","1024887555743875072","","","https://twitter.com/UL_Max_bot/status/1024887555743875072",""
"ARIANALOUlS","2018-08-02-01:20",0,0,"pic.twitter.com/jO0WiSNZiq","","","","1024887521396834304","1024886593688154112","","https://twitter.com/ARIANALOUlS/status/1024887521396834304","https://pbs.twimg.com/media/Djkhv8kUwAAkOMm.jpg"
"ih4t3y0ul0v3y0u","2018-08-02-01:19",0,0,"( 쪼 )","","","","1024887516040589312","1024857050667307009","Yura_B12","https://twitter.com/ih4t3y0ul0v3y0u/status/1024887516040589312","https://abs.twimg.com/emoji/v2/72x72/1f498.png"
"ih4t3y0ul0v3y0u","2018-08-02-01:19",0,0,"퀴친소 적응이 조금 되서 하는 퀴친소. 호모 플렉시블. 9N. 대학생. 애인 X , 플러팅 OK. 낯 심하게 가려요 .. 그래도 진입장벽 낮아요. 편하게 다가와 주세요! 남돌 파지만 언급 없어요. 트친님들 알티 인용알티 해주시면 감사해요!pic.twitter.com/ti5FIx79a4","","","","1024887514014789634","","","https://twitter.com/ih4t3y0ul0v3y0u/status/1024887514014789634","https://abs.twimg.com/emoji/v2/72x72/1f498.png"
"baddies0ul","2018-08-02-01:19",0,0,"solo bebí ahua :(","","","","1024887505957605376","1024886603737645056","D3sgraciado0","https://twitter.com/baddies0ul/status/1024887505957605376",""
"UL_gae__","2018-08-02-01:19",0,0,"에라이 디져버리겟다","","","","1024887499879899136","","","https://twitter.com/UL_gae__/status/1024887499879899136",""
"3fpXrBsdp9uULUb","2018-08-02-01:19",0,0,"こんにちは！ 今日はひどく寝てしまっていた！ 今起きたんだからなw、朝ごはん？ んなもん昼ごはんや","","","","1024887492212809728","","","https://twitter.com/3fpXrBsdp9uULUb/status/1024887492212809728",""
"k7S1wTUlOD0Vu4C","2018-08-02-01:19",0,0,"おめでとうございます⸜(* ॑▿ ॑* )⸝","","","","1024887470893105152","1024883302539374594","ammenite","https://twitter.com/k7S1wTUlOD0Vu4C/status/1024887470893105152",""
"Shanulqadir","2018-08-02-01:19",0,1,"Talal Chaudhry disqualified for 5 years # SupremeCourtpic.twitter.com/INg5YhpiyU","","","# SupremeCourtpic","1024887467051294720","","","https://twitter.com/Shanulqadir/status/1024887467051294720","https://pbs.twimg.com/media/Djkhs98W0AA73J8.jpg"
"7mSeyr9QXjvOUl2","2018-08-02-01:19",0,0,"アリパシャ様の親愛エピ読んだけど何ですかあなたマフムト様大好きですか！？作戦のために貴銃士をピンチに追い込んで？俺様が颯爽と敵を倒して好感度UPを図るつもりが？マフ様に銃口が向けられた途端真っ白になって？咄嗟に庇って負傷したと？そしてそのタイミングでマフ様が絶対高貴に目覚めて戦果は","","","","1024887460751323138","","","https://twitter.com/7mSeyr9QXjvOUl2/status/1024887460751323138",""
"MDY53wdIZiDUlOW","2018-08-02-01:19",0,0,"خاص","","","","1024887440396443649","1024873876499714048","abood7abod 0ynUZ33Z5ZWxPPk","https://twitter.com/MDY53wdIZiDUlOW/status/1024887440396443649",""
"ecohouse_fun","2018-08-02-01:19",0,0,"1982年米国で開発されたヒーターで安全企画ULを取得した厚み0.3ミりのフイルムヒーターで省エネ!頭寒足熱は冬場の理想的な生活スタイルです。","","","","1024887423593996288","","","https://twitter.com/ecohouse_fun/status/1024887423593996288",""
"UL7jhXFF1tfzKAB","2018-08-02-01:19",0,1,"おそようーヾ(o´∀｀o)ﾉ","","","","1024887404195274752","1024866205931253763","hinasandayo_u","https://twitter.com/UL7jhXFF1tfzKAB/status/1024887404195274752",""
"UlEpRNXN7HwLNi8","2018-08-02-01:19",0,0,"in 図書館！ 着いたら眠くなってきた… ( ˘ω˘ ) ｽﾔｧ…","","","","1024887389401927680","","","https://twitter.com/UlEpRNXN7HwLNi8/status/1024887389401927680",""
"Flagrance_ul","2018-08-02-01:19",0,0,"うーんマサカズ先生のご指導だ","","","","1024887380275150849","","","https://twitter.com/Flagrance_ul/status/1024887380275150849",""
"ov0ul","2018-08-02-01:19",0,0,"مثلي سنتين ورى بعض وكله مسابقات رسم وفي الاخير مالاقى رسماتي في المعرض الي يسونه او يسحبون على المسابقة ومايرجعونها لي.. قلبي منفطر. ومعد صرت ارسم اصلا لانها زقت معي","","","","1024887340202958848","1024838147727912960","shza_ 3bdulazim","https://twitter.com/ov0ul/status/1024887340202958848","https://abs.twimg.com/emoji/v2/72x72/1f494.png"
