username,date,retweets,favorites,text,geo,mentions,hashtags,tweetid,conversationid,replyto,permalink,imagelink
"GalFreakyFriday","2018-07-09-21:48",0,0,"# TheBachelorette # ScotusPick Founder of the American Abortion foundation Margaret Sanger photo speaking to the KKK pic.twitter.com/DToNYjGEtb","","","# TheBachelorette # ScotusPick","1016499266544635909","","","https://twitter.com/GalFreakyFriday/status/1016499266544635909","https://abs.twimg.com/hashflags/TheBachelorette2018/TheBachelorette2018.png"
"gloriadeno","2018-01-27-15:33",0,1,"Hello you hypocritical Dems like @ NancyPelosi & @ chuckschumer Margaret Sanger was a white supremacist Pelosi received “Margaret Sanger award”, but did you know this: On page 366 in Pelosi's autobiography she admits to speaking to womens branch of the KKK pic.twitter.com/ELrxIcWUSN","","@ NancyPelosi @ chuckschumer","","957350996300230656","","","https://twitter.com/gloriadeno/status/957350996300230656","https://pbs.twimg.com/media/DUkxpx6VAAAaSgW.jpg"
"Roburk626","2018-01-11-01:39",1,0,"This one is a special little treat. Leftists genocidal Planned Parenthood founder Margaret Sanger speaking to her colleagues in the Lefts KKK! Notice them hailing her? Hmmm who else did that salute, the Leftists Hitler. Defend some more it’s delicious! pic.twitter.com/NsuOd0BHzp","","","","951342880521584640","951258218910633984","JossMelanie CUGregersen","https://twitter.com/Roburk626/status/951342880521584640","https://pbs.twimg.com/media/DTPZTgAWAAENkmi.jpg"
"SWhiteEPPC","2017-12-13-10:19",1,2,"Speaking of killing little black girls, the KKK and Doug Jones share an admiration for the eugenicist Margaret Sanger, who founded @ PPact.https://twitter.com/usatoday/status/940962039090032645 …","","@ PPact","","940964358166925312","","","https://twitter.com/SWhiteEPPC/status/940964358166925312",""
"velvethammer","2017-09-27-18:15",0,1,"Democrat heroine Planned Parenthood founder Margaret Sanger speaking to a bevy of her KKK fans. # TakeTheKnee # BlackLivesMatter # STLverdictpic.twitter.com/DeFSk53Zog","","","# TakeTheKnee # BlackLivesMatter # STLverdictpic","913165102148235265","913158985531973633","occularmandible","https://twitter.com/velvethammer/status/913165102148235265","https://abs.twimg.com/hashflags/BlackHistoryMonth/BlackHistoryMonth.png"
"OathKeepersMO","2017-09-12-08:32",2,4,"This is the founder of planned parenthood her name is Margaret Sanger, here she is speaking to the KKK. pic.twitter.com/RDLPEoZBWK","","","","907582754338033664","907427024008085517","KOMUnews","https://twitter.com/OathKeepersMO/status/907582754338033664","https://pbs.twimg.com/media/DJhhs1gVAAUVNxB.jpg"
"turtleboots36","2017-08-25-10:11",0,0,"So you don't believe that Margaret Sanger was a racist? So her speaking to the KKK was just a figment of our imaginations","","","","901084578864971776","900788458918162432","EdDarrell ScottPresler","https://twitter.com/turtleboots36/status/901084578864971776",""
"nedryun","2017-08-22-22:27",141,142,"Would love if someone could verify this pic of Margaret Sanger, founder of @ PPact, speaking to the KKK. # maga # tcotpic.twitter.com/o7MdlnRffH","","@ PPact","# maga # tcotpic","900182732063559682","","","https://twitter.com/nedryun/status/900182732063559682","https://pbs.twimg.com/media/DH4XbH0XoAAT-mc.jpg"
"Hos1951Annie","2017-08-18-05:59",0,0,"Margaret Sanger Planned Parenthood founder a Neo Nazi White supremacy speaking at a KKK rally.her Bust at the Smithsonian must be destroyed pic.twitter.com/1KImE0ZvXl","","","","898484537205735428","","","https://twitter.com/Hos1951Annie/status/898484537205735428","https://pbs.twimg.com/media/DHgO62GXcAE4a59.jpg"
"CEnzoGiacomo","2017-06-23-20:43",0,0,"This was Hillary's inspiration Margaret Sanger in her younger days speaking to the KKK both Democrats people pic.twitter.com/awqcd0WxQJ","","","","878413236919570434","878412313354805248","CEnzoGiacomo","https://twitter.com/CEnzoGiacomo/status/878413236919570434","https://pbs.twimg.com/media/DDDALVWXoAIzV_K.jpg"
"JaTapps","2017-06-22-01:56",0,2,"You are claiming there are 'videos' of Margaret Sanger speaking to the KKK?","","","","877767170310250496","877720548070916096","StacyLStiles CarrieGeren","https://twitter.com/JaTapps/status/877767170310250496",""
"just_jess212","2016-11-10-19:55",0,0,"@ PPact came across this pic of your founder Margaret Sanger. What's your thoughts on this? Why is she speaking to KKK? pic.twitter.com/MCOcBnL4qb","","@ PPact","","796878865301995520","","","https://twitter.com/just_jess212/status/796878865301995520","https://pbs.twimg.com/media/Cw8VGc2UsAA7w4K.jpg"
"johnsoko333","2016-10-16-20:11",0,0,"dont forget to mention Margaret Sanger was a YUGE eugenist. Loved speaking in front of the KKK- # Creepy","","","# Creepy","787808211982311424","787799638493499398","BernieSanders PPFA","https://twitter.com/johnsoko333/status/787808211982311424",""
"AltAnalyst","2016-10-16-08:59",1,0,"Libs, Centrists, @ PPact & @ HillaryClinton ADMIRE Margaret Sanger. Here’s Sanger speaking at KKK rally. # BlackTwitterpic.twitter.com/FXaeNAht3P","","@ PPact @ HillaryClinton","# BlackTwitterpic","787639142314311680","","","https://twitter.com/AltAnalyst/status/787639142314311680","https://pbs.twimg.com/media/Cu5BoAuXYAAIhNP.jpg"
"Enubus","2016-10-08-04:34",0,0,"Margaret Sanger, who started Planned Parenthood, speaking to local KKK women. Abortion provider/Hillary's people! pic.twitter.com/Dq7UH1ut7K","","","","784673369706725376","","","https://twitter.com/Enubus/status/784673369706725376","https://pbs.twimg.com/media/CuO4MGkUAAAKgMa.jpg"
"BeersNTrumpets","2016-10-01-15:00",0,0,"margaret sanger (who was barred by mayor curley from speaking here), hitler, vegans, the kkk, 'crooked hillary the liar,' babies...","","","","782294008420794369","782292494994272257","BeersNTrumpets","https://twitter.com/BeersNTrumpets/status/782294008420794369",""
"IloiloKano","2016-08-25-21:52",0,0,"Your portrayal of Margaret Sanger speaking to the KKK? @ BenjaminSWatson","","@ BenjaminSWatson","","768989478052466688","768974392370102272","DineshDSouza","https://twitter.com/IloiloKano/status/768989478052466688",""
"Saynsumthn","2016-08-25-16:20",1,2,"# PlannedParenthood Margaret Sanger founder wrote about speaking to # KKK why does # Hillary admire her? # Trump # Racepic.twitter.com/b7dPXsR0fI","","","# PlannedParenthood # KKK # Hillary # Trump # Racepic","768905980469977088","","","https://twitter.com/Saynsumthn/status/768905980469977088","https://pbs.twimg.com/media/CquztQYUAAAKrzY.jpg"
"gracels","2016-08-14-14:58",0,1,"Yes, especially liked fake “reenactment” of Margaret Sanger speaking to KKK at her home. https://twitter.com/alonso23_t/status/764863007394566148 …pic.twitter.com/VdqlzSpu0H","","","","764899136466321410","","","https://twitter.com/gracels/status/764899136466321410","https://pbs.twimg.com/media/Cp13kHUUsAIHRcb.jpg"
"SPmilkshake","2016-08-12-10:23",0,0,"he thinks he saw video of Margaret Sanger speaking to the KKK in a movie. @ ShadowSpadeXIV @ BaldEagleRising @ jsavite","","@ ShadowSpadeXIV @ BaldEagleRising @ jsavite","","764105046896349185","","","https://twitter.com/SPmilkshake/status/764105046896349185",""
"edm3rd","2016-06-13-15:31",0,0,"was Margaret Sanger speaking at the Kkk rally then . She was a big fan of Hitler's eugenics spokesman at the time as well.","","","","742439373929652227","742429970698493953","jimmystagger","https://twitter.com/edm3rd/status/742439373929652227",""
"TheDrkAngel1","2016-03-21-01:17",0,0,"RT @ I_AmAmerica: Margaret Sanger speaking to the KKK Hillary Clinton loves and admire this lady (cont) http://tl.gd/nm3nrf","","@ I_AmAmerica","","711783792361345025","","","https://twitter.com/TheDrkAngel1/status/711783792361345025",""
"gllmalcllcgl","2016-02-15-16:59",0,0,"@ FSM1988 Depends on the source, her personal letters, speaking at a kkk rally. The Autobiography of Margaret Sanger https://www.amazon.com/dp/0486434923/ref=cm_sw_r_cp_awd_AKKWwb78SG6T1 …","","@ FSM1988","","699352357725982720","698928008288145408","FSM1988","https://twitter.com/gllmalcllcgl/status/699352357725982720",""
"jaimeballew","2016-02-04-15:33",0,0,"'I made speeches to lots of groups' - @ HillaryClinton RE: Wall St. speeches. Margaret Sanger said the same about speaking to the KKK. # weird","","@ HillaryClinton","# weird","695344455117746177","","","https://twitter.com/jaimeballew/status/695344455117746177",""
