username,date,retweets,favorites,comments,text,geo,mentions,hashtags,tweetid,conversationid,replyto,permalink,imagelink
"Chrisschalz1","2018-08-08-13:54",0,0,0,"Fights over, bill. Your party died when talk radio and Fox News became your brand. Your party is nothing but hate, cynicism, and regression. We all saw it happening while you passed tax cuts, started illegal wars, and crashed the economy. The GOP is dead, only trump remains","","","","1027251644675719168","1027245651522928643","BillKristol","https://twitter.com/Chrisschalz1/status/1027251644675719168",""
"allaboutjoysf","2018-08-08-13:09",0,0,0,"Prepare for the bull the @ GOP will be spewing about the tax bill they passed! # VoteBlue. Federal deficit jumps 20 percent after tax cuts, spending bill http://thehill.com/policy/finance/400876-federal-deficit-jumps-20-percent-after-tax-cuts-spending-bill …","","@ GOP","# VoteBlue","1027240457590296576","","","https://twitter.com/allaboutjoysf/status/1027240457590296576","https://abs.twimg.com/emoji/v2/72x72/1f4a9.png"
"BFoust07","2018-08-08-12:18",0,0,0,"Democrats voted no on the entire bill, this was all GOP! And besides if they knew democrats would vote no on the bill which made it so that GOP had to make tax cuts temporary for average Americans, why try to pass it anyway when we will have to pay for it later?","","","","1027227465817706499","1022823463151722496","What0316 FoxNews","https://twitter.com/BFoust07/status/1027227465817706499",""
"stlkatydid","2018-08-08-11:02",0,0,0,"She voted yes on some of the GOP, Trump supported immigration bills; did not pass because of GOP senator infighting.She has worked on many bipartisan bills. Trump/GOP haven’t passed any major pieces of legislation, except for tax cut which Claire didn’t support, not good for MO.","","","","1027208436004610048","1027021630181203968","EnriqueRLopezJ clairecmc HawleyMO","https://twitter.com/stlkatydid/status/1027208436004610048",""
"PeebsY0","2018-08-08-10:08",1,0,0,"The only legislation passed by the GOP Congress relating to the economy was a tax bill that they said their donors were demanding from them.","","","","1027194951912890368","1027187354140696576","matthewamiller justkelly_ok","https://twitter.com/PeebsY0/status/1027194951912890368",""
"SRead806","2018-08-07-20:17",0,1,0,"Q: Why would support from Dems be necessary if GOP runs the lege and can pass any bill they want? A: Texans are now believing that GOP lege led by @ DanPatrick has been the cause of higher tax rates, so it’s time to show bipartisanship. @ CollierForTexas @ pastors4txkids @ smilder","","@ DanPatrick @ CollierForTexas @ pastors4txkids @ smilder","","1026985768537997312","1026966974621003776","EmpowerTexans","https://twitter.com/SRead806/status/1026985768537997312",""
"wsegad","2018-08-07-19:40",0,0,0,"You are locating potential opposition to the bill with the public while in doing it with the Democratic Party. Do you honestly think the Dems will pass a bill the CBO projects will add 30 trillion to the debt? That’s 20 times the GOP tax bill!","","","","1026976291243876353","1026935018961043456","meelar buttpraxis","https://twitter.com/wsegad/status/1026976291243876353",""
"riverfallsj","2018-08-07-17:57",0,0,0,"Wisconsin roundup: GOP leadership: We don’t have votes to pass tax break bill yet; more state news stories https://trib.al/6J5SjX2 pic.twitter.com/aKhwB2jK3T","","","","1026950371615367168","","","https://twitter.com/riverfallsj/status/1026950371615367168","https://pbs.twimg.com/media/DkB16xRXoAAhWak.jpg"
"RiverTown_News","2018-08-07-17:52",0,0,0,"Wisconsin roundup: GOP leadership: We don’t have votes to pass tax break bill yet; more state news stories https://trib.al/aK7jCpB pic.twitter.com/WmhUB00VAZ","","","","1026949149999149057","","","https://twitter.com/RiverTown_News/status/1026949149999149057","https://pbs.twimg.com/media/DkB0zyEUUAE8q5P.jpg"
"hudsonwi","2018-08-07-17:43",0,0,0,"Wisconsin roundup: GOP leadership: We don’t have votes to pass tax break bill yet; more state news stories https://trib.al/xMVRKDG pic.twitter.com/NTmtpCabnF","","","","1026946862258024448","","","https://twitter.com/hudsonwi/status/1026946862258024448","https://pbs.twimg.com/media/DkByum7U4AA3O0K.jpg"
"MrApplianceWI","2018-08-07-17:30",0,0,0,"Wisconsin roundup: GOP leadership: We don’t have votes to pass tax break bill yet; more state news stories http://dlvr.it/Qf7jWS pic.twitter.com/HnYrj9osME","","","","1026943613366726657","","","https://twitter.com/MrApplianceWI/status/1026943613366726657","https://pbs.twimg.com/media/DkBvxedU8AEDFKa.jpg"
"piercecounty","2018-08-07-17:25",0,0,0,"Wisconsin roundup: GOP leadership: We don’t have votes to pass tax break bill yet; more state news stories https://trib.al/Yp62deu pic.twitter.com/YMi2eG5ta4","","","","1026942413783351296","","","https://twitter.com/piercecounty/status/1026942413783351296","https://pbs.twimg.com/media/DkBursYX0AIII8O.jpg"
"NewRichmondNews","2018-08-07-17:24",0,0,0,"Wisconsin roundup: GOP leadership: We don’t have votes to pass tax break bill yet; more state news stories https://trib.al/sDpN4U1 pic.twitter.com/xt147PsRiB","","","","1026942304584691712","","","https://twitter.com/NewRichmondNews/status/1026942304584691712","https://pbs.twimg.com/media/DkBulWJXoAApegN.jpg"
"SunShinesToday1","2018-08-07-16:15",0,3,1,"Oh yes he is. But take a look at all the other GOP RS who announced their retirement right after this tax scam bill was passed. Amazing how the dumbass in the White House uses America for his own personal checkbook and the rest of those pain in the asses.","","","","1026924876626452481","1026910437038874624","bully4me16 SocialPowerOne1","https://twitter.com/SunShinesToday1/status/1026924876626452481",""
"HouseBlueDogs","2018-08-07-13:34",7,19,0,"To be clear: Under @ HouseGOP leadership, a deficit-financed tax bill was passed on a party-line vote that will add $1.9 trillion to the deficit. Since Christmas, a GOP Congress & White House has added $2 trillion to the debt. We must put politics aside & be fiscally responsible. https://twitter.com/walshfreedom/status/1026538482657837058 …","","@ HouseGOP","","1026884227101589504","","","https://twitter.com/HouseBlueDogs/status/1026884227101589504",""
"NYCdisinterest","2018-08-07-13:30",0,0,0,"Paul Ryan pretends he’s a policy wonk, but passed a GOP tax bill that was a complete clusterfuck including handwritten notes in the margin. His bill cost $2.3 TRILLION and he should *never* be allowed to call himself a “fiscal conservative” ever again.. https://www.politico.com/story/2018/02/28/tax-cuts-trump-gop-analysis-430781 …https://twitter.com/paulkrugman/status/1026865381447819264 …","","","","1026883314320207873","","","https://twitter.com/NYCdisinterest/status/1026883314320207873",""
"Ray_Miller_007","2018-08-07-11:11",3,3,0,"GOP tax bill rammed bef indep analy could be done. Analy fr CBO shows we can't make up for t lost corp tax rev. Corp spend $ on buybak & divs. No wage inc or infrastr. Net: $5.5T debt in 2028. If known in adv, no bill pass. Debt will/b high if Fed int rate inc. GOP screwed us","","","","1026848394537590784","1026806263856934913","Commoncents44th TruthEqualsFact","https://twitter.com/Ray_Miller_007/status/1026848394537590784",""
"MCNisbet","2018-08-07-10:14",0,0,1,"5. Strong majorities of Americans support gun control, yet legislation has been blocked. When the Trump GOP tax plan passed this year, just a quarter of Americans called the bill a good idea.","","","","1026834038672252929","1026833098690965507","","https://twitter.com/MCNisbet/status/1026834038672252929","https://pbs.twimg.com/profile_images/743848240949362689/TUvJRxEV_normal.jpg"
"havingatwitfit","2018-08-07-09:07",0,1,0,"You realize that GOP passed a tax bill that largely benefits the 1% and in order to fund said tax bill they want to cut social security, Medicare and Medicaid which Americans use and the admin is refusing to support preexisting health conditions in court which hurts Americans.","","","","1026817146368741376","1026781688167366656","Proven_Fearless realDonaldTrump","https://twitter.com/havingatwitfit/status/1026817146368741376",""
"SonicNationSTL","2018-08-07-01:34",3,2,0,"Right now, @ ATT workers are refusing to allow these conditions to continue. They’re campaigning fiercely for good jobs and a fair union contract. When the GOP tax bill passed, Stephenson ( @ ATT CEO) saved $20 billion. He promised to create 7,000 jobs with that hefty sum. He lied.","","@ ATT @ ATT","","1026703164303650816","","","https://twitter.com/SonicNationSTL/status/1026703164303650816",""
"EricFigueiras","2018-08-07-00:12",0,0,0,"Destruction of our economy through government force and regulations that did not require congressional approval. I do believe the gop passed a bill that now makes it required to be approved by congress for new regulations. Seeing as many are tax increases to businesses","","","","1026682476817784832","1025844978990239744","mhall119 AndrewLearned","https://twitter.com/EricFigueiras/status/1026682476817784832",""
"don_prusha","2018-08-06-22:46",0,1,2,"that is all bullshit bush tax cuts killed the Clinton surplus republicans in congress passed all the spending bills for Obama to sign Iran was an ally until 1979 and all that money (with interest) was returned because we didn't deliver the weapons they bought","","","","1026660846850768897","1018172247297540096","SteveCasull Thedarkamerica","https://twitter.com/don_prusha/status/1026660846850768897",""
