username,date,retweets,favorites,comments,text,geo,mentions,hashtags,tweetid,conversationid,replyto,permalink,imagelink
"VegSam","2018-08-08-10:39",0,0,0,"Grenfell police have 'reasonable grounds' to suspect Kensington council committed corporate manslaughter https://www.independent.co.uk/news/uk/crime/grenfell-tower-fire-latest-news-corporate-manslaughter-kensington-council-kctmo-met-police-a7863616.html …","","","","1027202554097291265","","","https://twitter.com/VegSam/status/1027202554097291265",""
"maliceous","2018-08-08-04:00",0,0,0,"# Boris Johnson should be kicked out of # ToryNaziParty for burqa comments, says Tory peer? I WAS UP LAST NIGHT STRUGGLING WITH # GRENFELL .. police have 'reasonable grounds' to suspect Kensington council committed corporate manslaughter... let alone this # RACIST CUNT Johnson !","","","# Boris # ToryNaziParty # GRENFELL # RACIST","1027102242510393344","","","https://twitter.com/maliceous/status/1027102242510393344",""
"maliceous","2018-08-07-17:14",0,0,0,"YOU DON'T DIE LAUGHING IN # KENSINGTON THAT'S FOR SURE # Grenfell police have 'reasonable grounds' to suspect # Kensington council committed corporate manslaughter","","","# KENSINGTON # Grenfell # Kensington","1026939758507962369","","","https://twitter.com/maliceous/status/1026939758507962369",""
"maliceous","2018-08-07-17:13",1,0,0,"AND WHERE'S # MAY AGAIN ? NOWHERE NEAR TO COMMENT AGAIN !!! ... # Grenfell police have 'reasonable grounds' to suspect # Kensington council committed corporate manslaughter...<<<< this is why the # NAZI anti muslim red herring of # BORIS and the # BURKA","","","# MAY # Grenfell # Kensington # NAZI # BORIS # BURKA","1026939312158527488","","","https://twitter.com/maliceous/status/1026939312158527488",""
"solamiga","2018-08-07-16:57",5,5,1,"Grenfell police have 'reasonable grounds' to suspect Kensington council committed corporate manslaughter https://www.independent.co.uk/news/uk/crime/grenfell-tower-fire-latest-news-corporate-manslaughter-kensington-council-kctmo-met-police-a7863616.html …","","","","1026935263497527297","","","https://twitter.com/solamiga/status/1026935263497527297",""
"petedrummond666","2018-08-07-15:41",0,2,0,"Grenfell police have 'reasonable grounds' to suspect Kensington council committed corporate manslaughter https://www.independent.co.uk/news/uk/crime/grenfell-tower-fire-latest-news-corporate-manslaughter-kensington-council-kctmo-met-police-a7863616.html …","","","","1026916365112954880","","","https://twitter.com/petedrummond666/status/1026916365112954880",""
"floormanagement","2018-08-07-10:41",50,38,3,"Grenfell police have 'reasonable grounds' to suspect Kensington council committed corporate manslaughter https://www.independent.co.uk/news/uk/crime/grenfell-tower-fire-latest-news-corporate-manslaughter-kensington-council-kctmo-met-police-a7863616.html …","","","","1026840823995027456","","","https://twitter.com/floormanagement/status/1026840823995027456",""
"ConradPenman","2018-08-06-17:40",0,0,0,"Grenfell police have 'reasonable grounds' to suspect Kensington council committed corporate manslaughter https://www.independent.co.uk/news/uk/crime/grenfell-tower-fire-latest-news-corporate-manslaughter-kensington-council-kctmo-met-police-a7863616.html …","","","","1026583728250933249","","","https://twitter.com/ConradPenman/status/1026583728250933249",""
"45albannach","2018-08-06-14:49",8,7,1,"Grenfell police have 'reasonable grounds' to suspect Kensington council committed corporate manslaughter https://www.independent.co.uk/news/uk/crime/grenfell-tower-fire-latest-news-corporate-manslaughter-kensington-council-kctmo-met-police-a7863616.html …","","","","1026540685057351680","","","https://twitter.com/45albannach/status/1026540685057351680",""
"MeabanBeag","2018-08-06-11:44",0,0,0,"Grenfell police have 'reasonable grounds' to suspect Kensington council committed corporate manslaughter https://www.independent.co.uk/news/uk/crime/grenfell-tower-fire-latest-news-corporate-manslaughter-kensington-council-kctmo-met-police-a7863616.html …","","","","1026494170536529921","","","https://twitter.com/MeabanBeag/status/1026494170536529921",""
"HENRYBARTLETTEL","2018-08-03-18:23",0,0,0,"Grenfell police have 'reasonable grounds' to suspect Kensington council committed corporate manslaughter https://www.independent.co.uk/news/uk/crime/grenfell-tower-fire-latest-news-corporate-manslaughter-kensington-council-kctmo-met-police-a7863616.html …","","","","1025507533421797376","","","https://twitter.com/HENRYBARTLETTEL/status/1025507533421797376",""
"SlaveryRemember","2018-08-03-06:09",1,1,0,"Grenfell - Police have said they have 'reasonable grounds' to supspect Kensington council and the council's tenant mangagement agency (TMO) have committed corporate manslaughter. # Grenfell # GrenfellInquiry # TimeToRemember https://www.independent.co.uk/news/uk/crime/grenfell-tower-fire-latest-news-corporate-manslaughter-kensington-council-kctmo-met-police-a7863616.html …","","","# Grenfell # GrenfellInquiry # TimeToRemember","1025322766122344448","","","https://twitter.com/SlaveryRemember/status/1025322766122344448",""
"RVictorWilliams","2018-08-03-05:02",0,0,0,"Grenfell police have 'reasonable grounds' to suspect Kensington council committed corporate manslaughter https://www.independent.co.uk/news/uk/crime/grenfell-tower-fire-latest-news-corporate-manslaughter-kensington-council-kctmo-met-police-a7863616.html …","","","","1025305951090429952","","","https://twitter.com/RVictorWilliams/status/1025305951090429952",""
"arshadfilms","2018-08-02-21:01",7,5,2,"Police have 'reasonable grounds' to suspect corporate manslaughter was committed at Grenfell Tower http://www.independent.co.uk/news/uk/crime/grenfell-tower-fire-latest-news-corporate-manslaughter-kensington-council-kctmo-met-police-a7863616.html …","","","","1025184945688522752","","","https://twitter.com/arshadfilms/status/1025184945688522752",""
"nailanaidoo","2018-08-02-19:10",0,0,0,"Police have 'reasonable grounds' to suspect corporate manslaughter was committed at Grenfell Tower http://www.independent.co.uk/news/uk/crime/grenfell-tower-fire-latest-news-corporate-manslaughter-kensington-council-kctmo-met-police-a7863616.html …","","","","1025156862185025537","","","https://twitter.com/nailanaidoo/status/1025156862185025537",""
"JaTirard","2018-08-02-18:29",0,0,0,"Grenfell police have 'reasonable grounds' to suspect Kensington council committed corporate manslaughter https://www.independent.co.uk/news/uk/crime/grenfell-tower-fire-latest-news-corporate-manslaughter-kensington-council-kctmo-met-police-a7863616.html …","","","","1025146612610420737","","","https://twitter.com/JaTirard/status/1025146612610420737",""
"johnyelrom","2018-08-01-05:24",0,0,0,"Grenfell police have 'reasonable grounds' to suspect Kensington council committed corporate manslaughter http://www.independent.co.uk/news/uk/crime/grenfell-tower-fire-latest-news-corporate-manslaughter-kensington-council-kctmo-met-police-a7863616.html …","","","","1024586590964908032","","","https://twitter.com/johnyelrom/status/1024586590964908032",""
"HENRYBARTLETTEL","2018-08-01-01:36",0,0,0,"Police have 'reasonable grounds' to suspect corporate manslaughter was committed at Grenfell Tower http://www.independent.co.uk/news/uk/crime/grenfell-tower-fire-latest-news-corporate-manslaughter-kensington-council-kctmo-met-police-a7863616.html …","","","","1024529361528082432","","","https://twitter.com/HENRYBARTLETTEL/status/1024529361528082432",""
"HENRYBARTLETTEL","2018-07-31-15:15",0,0,0,"Police have 'reasonable grounds' to suspect corporate manslaughter was committed at Grenfell Tower http://www.independent.co.uk/news/uk/crime/grenfell-tower-fire-latest-news-corporate-manslaughter-kensington-council-kctmo-met-police-a7863616.html …","","","","1024373077721927682","","","https://twitter.com/HENRYBARTLETTEL/status/1024373077721927682",""
"SWIFOTI","2018-07-31-10:31",0,0,0,"Grenfell: Police say they have 'reasonable grounds' to suspect Kensington council and TMO committed corporate manslaughter https://buff.ly/2LIW8V3","","","","1024301409209122817","","","https://twitter.com/SWIFOTI/status/1024301409209122817",""
