username,date,retweets,favorites,comments,text,geo,mentions,hashtags,tweetid,conversationid,replyto,permalink,imagelink
"thus_spake","2017-07-11-12:11",0,0,0,"IRA bomb suspect Michael Hayes apologises for the Birmingham pub bombings that killed 21 people in 1974. http://www.bbc.co.uk/news/uk-northern-ireland-40560590 …","","","","884807361285820417","","","https://twitter.com/thus_spake/status/884807361285820417",""
"biochemmathstu1","2017-07-10-20:47",0,0,0,"News Update Birmingham bombs: 'I apologise' - IRA bomb suspect Michael Hayes apologises for the Birmingham pub ... http://ow.ly/l4mj50cILTl","","","","884574818401746944","","","https://twitter.com/biochemmathstu1/status/884574818401746944",""
"AutopostSandpit","2017-07-10-17:53",0,0,0,"#3 Latest Audio : Birmingham bombs: 'I apologise' - IRA bomb suspect Michael Hayes apologises fo... https://goo.gl/LYEvon","","","","884531147061030912","","","https://twitter.com/AutopostSandpit/status/884531147061030912",""
"tianz17","2017-07-10-17:03",0,0,0,"IRA bombmaker apologises for Birmingham pub bombings: Michael Hayes (pictured), 69, from Dublin, said he was part… http://cur.lv/160i68 pic.twitter.com/sWOc2F63nB","","","","884518494385000448","","","https://twitter.com/tianz17/status/884518494385000448","https://pbs.twimg.com/media/DEZw4ayUwAEXcg8.jpg"
"peterwilson9","2017-07-10-16:15",17,5,2,"IRA man Michael Hayes apologises for 21 deaths in 1974 @ Justice4the21 say they want the truth not soft soap # Birmingham @ bbcmtdpic.twitter.com/2Rqziud6bV","","@ Justice4the21 @ bbcmtdpic","# Birmingham","884506317624414209","","","https://twitter.com/peterwilson9/status/884506317624414209","https://pbs.twimg.com/media/DEZlzX-W0AY-b8H.jpg"
"vrai777","2017-07-10-13:24",0,0,0,"IRA member Michael Hayes says he was part of group responsible for 1974 Birmingham bombs; apologises for 21 deaths http://bbc.in/2u5tWS1 …","","","","884463365459935232","","","https://twitter.com/vrai777/status/884463365459935232",""
"adeolualatishe","2017-07-10-13:00",0,0,0,"IRA member Michael Hayes says he was part of group responsible for 1974 Birmingham bombs; apologises for 21 dea... http://ow.ly/CXhQ50cIctC","","","","884457417706266629","","","https://twitter.com/adeolualatishe/status/884457417706266629",""
"thelondonergirl","2017-07-10-12:57",0,0,0,"IRA member Michael Hayes says he was part of group responsible for 1974 Birmingham bombs; apologises for 21 deaths https://breaking.iavian.net/article/151271","","","","884456508653744128","","","https://twitter.com/thelondonergirl/status/884456508653744128",""
"johnycassidy","2017-07-10-12:08",0,0,0,"IRA member Michael Hayes says he was part of group responsible for 1974 Birmingham bombs; apologises for 21 deaths https://breaking.iavian.net/article/151271","","","","884444264897421312","","","https://twitter.com/johnycassidy/status/884444264897421312",""
"lpsffs2","2017-07-10-12:06",0,0,0,"IRA member Michael Hayes says he was part of group responsible for 1974 Birmingham bombs; apologises for 21 deaths… …","","","","884443686976847872","","","https://twitter.com/lpsffs2/status/884443686976847872",""
"BSAFunds","2017-07-10-12:05",0,0,0,"IRA member Michael Hayes says he was part of group responsible for 1974 Birmingham bombs; apologises for 21 deaths http://bbc.in/2u5tWS1 …","","","","884443526196596737","","","https://twitter.com/BSAFunds/status/884443526196596737",""
"newsbott3r","2017-07-10-12:05",0,0,0,"IRA member Michael Hayes says he was part of group responsible for 1974 Birmingham bombs; apologises for 21 deaths… https://twitter.com/i/web/status/884442295101263873 …","","","","884443500711993344","","","https://twitter.com/newsbott3r/status/884443500711993344",""
"Missycilious","2017-07-10-12:05",0,0,0,"IRA member Michael Hayes says he was part of group responsible for 1974 Birmingham bombs; apologises for 21 deaths… https://twitter.com/i/web/status/884442295101263873 …","","","","884443472794669056","","","https://twitter.com/Missycilious/status/884443472794669056",""
"djife2","2017-07-10-12:05",0,0,0,"IRA member Michael Hayes says he was part of group responsible for 1974 Birmingham bombs; apologises for 21 deaths… …","","","","884443420055437313","","","https://twitter.com/djife2/status/884443420055437313",""
"TerryJMcMurray","2017-07-10-12:05",1,0,0,"BBCBreaking: IRA member Michael Hayes says he was part of group responsible for 1974 Birmingham bombs; apologises … https://twitter.com/i/web/status/884442295101263873 …","","","","884443406147125249","","","https://twitter.com/TerryJMcMurray/status/884443406147125249",""
