content,username,replyto,permalink,time
"Incredible story. Such amazing work by all the men and women who helped save this team and their coach. Truly remarkable rescue. ,#,ThaiCaveRescue, ,#,All12,https://,twitter.com/zekejmiller/st,atus/1016658646313394182, ,…",PressSec,,https://twitter.com/PressSec/status/1016660577987411968,1531225745
"You seem so concerned about the 12 boys and the coach but what about the homegrown mess that the Trump Administration has with the immigrants at our boarders?,#,fixit, – at ,Keller EMS Station 1",luvmygoldenskin,PressSec,https://twitter.com/luvmygoldenskin/status/1016735983327481856,1531243723
"They shouldn't be at our borders. They shoudn't be able to jump the line in front of people that are doing things the right way, the legal way.",robintweety56,"luvmygoldenskin,PressSec",https://twitter.com/robintweety56/status/1016890486135623681,1531280559
Kremlin bot,cblin,"robintweety56,luvmygoldenskin,PressSec",https://twitter.com/cblin/status/1016921804588310528,1531288026
"The world has held its collective breath, transcending all borders and ideologies in hopes that the ,#,ThamLuangCave, boys & Asst Coach would be rescued. Not all heroes wear capes, some wear scuba tanks. , RIP Saman Gunan,pic.twitter.com/slQjqHHPuE",dprite1,PressSec,https://twitter.com/dprite1/status/1016660720505810944,1531225779
Oh so now you care about children huh?,Max_thePower,PressSec,https://twitter.com/Max_thePower/status/1016660704152219648,1531225775
Next she'll try and say she cares about truth...and dogs.,AnooshMCL,"Max_thePower,PressSec",https://twitter.com/AnooshMCL/status/1016661093022818305,1531225867
Or about someone named Anoosh!,ThatPGHGuy,"AnooshMCL,Max_thePower,PressSec",https://twitter.com/ThatPGHGuy/status/1016662389280919552,1531226176
"I know right, she doesn't give an f about America or her citizens.",AnooshMCL,"ThatPGHGuy,Max_thePower,PressSec",https://twitter.com/AnooshMCL/status/1016668067340824576,1531227530
Or about a POS named Anoosh!,ThatPGHGuy,"AnooshMCL,Max_thePower,PressSec",https://twitter.com/ThatPGHGuy/status/1016669027249348608,1531227759
Thanks for agreeing she doesn't care about America. ,AnooshMCL,"ThatPGHGuy,Max_thePower,PressSec",https://twitter.com/AnooshMCL/status/1016670139587035138,1531228024
"Incredible-the Thai government moved heaven and earth to reunite 12 boys with their families.  I know I'm forgetting something here, but I think there's a connection. Something about 2,000 kids separated from their families in another country. ,#,ImmigrantChildren, ,#,ChildrenInCages",ZeroDoktor,PressSec,https://twitter.com/ZeroDoktor/status/1016815400699359232,1531262657
The irony truly is classic.,leftylulu2,"ZeroDoktor,PressSec",https://twitter.com/leftylulu2/status/1016933876868845568,1531290904
"@,MADAMPrezToYou, ,@,liberal_w_ablog, ,@,AnooshMCL, ,@,gailborges, ,@,thereal_hair, ,@,TwumpFaschion, ,@,FirstDudeUS, ,@,LokiLoptr,  ,@,sullysfca,  ,@,GammaRae206, ,@,EriqKunz1, ,@,ShellyRKirchoff, ,@,CarmaCreated, ,@,TheRealMrAleem,pic.twitter.com/THTal6cjVn",TrudeauMacron,PressSec,https://twitter.com/TrudeauMacron/status/1016660696078192641,1531225773
pic.twitter.com/CwSwvu5482,ShellyRKirchoff,"TrudeauMacron,PressSec",https://twitter.com/ShellyRKirchoff/status/1016661794264363008,1531226035
Too bad our government couldn’t accomplish the same for the children separated by your boss.,Frantzstar,PressSec,https://twitter.com/Frantzstar/status/1016828167938453504,1531265701
Right?  The self awareness in our own government is priceless.,leftylulu2,"Frantzstar,PressSec",https://twitter.com/leftylulu2/status/1016933382817632257,1531290786
pic.twitter.com/jbJyxp1AX6,srsehgal,PressSec,https://twitter.com/srsehgal/status/1016661177475174400,1531225888
"When did you start caring about non-white, non-embryonic children?",jessicajin_,"PressSec,trumps_feed",https://twitter.com/jessicajin_/status/1016735267594498048,1531243552
When the Thai story got enough press that it was decided that a carefully measured dose of U.S. compassion would be good PR.,MikeStillLives,"jessicajin_,PressSec,trumps_feed",https://twitter.com/MikeStillLives/status/1016745551143071745,1531246004
It truly was a miracle! The navy seals are heroes!! God Bless them all and the one that lost his life helping! ,dsltwitt,PressSec,https://twitter.com/dsltwitt/status/1016661483630026752,1531225961
Yes! Heros out there sacrificeing their lives while idiot protester's in streets making fools of themselves!,softawafta,"dsltwitt,jlsnojustice,PressSec",https://twitter.com/softawafta/status/1016713728455266305,1531238417
You mean trying to stop an inhumane process of parents being separated from their children?,davematt88,"softawafta,dsltwitt",https://twitter.com/davematt88/status/1017002004697231362,1531307147
"No,! I mean a PRESIDENT that is aware of the fact Obama released children back in the hands of gang child traffickers using children for sex trade!  President Trump is making sure the children are being released to family. Only 2000 out of 12000 with family!",softawafta,"davematt88,dsltwitt",https://twitter.com/softawafta/status/1017007916250009600,1531308556
Keep drinking the Kool-Aid Sharon,davematt88,"softawafta,dsltwitt",https://twitter.com/davematt88/status/1017011601814310912,1531309435
It's not kool aid she's drinking...its bloody marys..n she's not drinking them...she's inhaling them..n not just 1 or 2...more like 3 or 4,LarryBlaze6,"davematt88,softawafta",https://twitter.com/LarryBlaze6/status/1017014680911564800,1531310169
